rank,company,headquarters,state,subtype,industries
82,Schneider Electric,"Andover, Massachusetts",Massachusetts,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
83,New York City Fire Department,"Brooklyn, New York",New York,company,Government Services
84,Neiman Marcus Group,"Dallas, Texas",Texas,company,"Clothing, Shoes, Sports Equipment"
85,Legacy Health,"Portland, Oregon",Oregon,company,Healthcare & Social
86,Fort Bend ISD,"Sugar Land, Texas",Texas,company,Education
87,Daimler,"Atlanta, Georgia",Georgia,company,Automotive (Automotive and Suppliers)
88,Freeport-McMoRan,"Phoenix, Arizona",Arizona,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
89,Northern Trust,"Chicago, Illinois",Illinois,company,Banking and Financial Services
90,Scheels All Sports,"Fargo, North Dakota",North Dakota,company,"Clothing, Shoes, Sports Equipment"
91,University of Maryland Medical Center,"Baltimore, Maryland",Maryland,company,Healthcare & Social
92,Black & Veatch,"Overland Park, Kansas",Kansas,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
93,Parkview Health,"Fort Wayne, Indiana",Indiana,company,Healthcare & Social
94,Choctaw Casinos & Resorts,"Durant, Oklahoma",Oklahoma,company,Travel & Leisure
95,Norton Healthcare,"Louisville, Kentucky",Kentucky,company,Healthcare & Social
96,Kimberly-Clark,"Dallas, Texas",Texas,company,Packaged Goods
97,Cisco Systems,"San Jose, California",California,company,"IT, Internet, Software & Services"
98,Boston Scientific,"Marlborough, Massachusetts",Massachusetts,company,Health Care Equipment & Services
99,Fidelity Investments,"Boston, Massachusetts",Massachusetts,company,Banking and Financial Services
100,U.S. Agency for International Development,"Washington, District of Columbia",District of Columbia,company,Government Services
101,In-N-Out Burger,"Irvine, California",California,company,Restaurants
102,NextEra Energy,"Juno Beach, Florida",Florida,company,Utilities
103,Scholastic,"New York, New York",New York,company,Media & Advertising
104,Sephora,"San Francisco, California",California,company,Retail and Wholesale
105,NiSource,"Merrillville, Indiana",Indiana,company,Utilities
106,Duke Energy,"Charlotte, North Carolina",North Carolina,company,Utilities
107,Total,"Houston, Texas",Texas,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
108,NASA,"Washington, District of Columbia",District of Columbia,company,Government Services
109,Stryker,"Kalamazoo, Michigan",Michigan,company,Health Care Equipment & Services
110,Old Chicago Pizza and Taproom,"Broomfield, Colorado",Colorado,company,Restaurants
111,Qualcomm,"San Diego, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
112,Volvo Group,"Rockleigh, New Jersey",New Jersey,company,Automotive (Automotive and Suppliers)
113,Nationwide Children's Hospital,"Columbus, Ohio",Ohio,company,Healthcare & Social
114,Northrop Grumman,"Falls Church, Virginia",Virginia,company,Aerospace & Defense
115,"University of Nebraska, Lincoln","Lincoln, Nebraska",Nebraska,college,Education
116,ESS,"Cherry Hill, New Jersey",New Jersey,company,Business Services & Supplies
117,Bloomberg,"New York, New York",New York,company,Media & Advertising
118,Corning,"Corning, New York",New York,company,"Engineering, Manufacturing"
119,Eddie Bauer,"Bellevue, Washington",Washington,company,"Clothing, Shoes, Sports Equipment"
120,Edward Jones,"Des Peres, Missouri",Missouri,company,Banking and Financial Services
121,Smithsonian Institution,"Washington, District of Columbia",District of Columbia,company,Travel & Leisure
122,Texas Health Resources,"Arlington, Texas",Texas,company,Healthcare & Social
123,Emerson Electric,"St. Louis, Missouri",Missouri,company,"Engineering, Manufacturing"
124,Philips Healthcare,"Andover, Massachusetts",Massachusetts,company,Health Care Equipment & Services
125,3M,"St. Paul, Minnesota",Minnesota,company,Packaged Goods
126,Wawa,"Wawa, Pennsylvania",Pennsylvania,company,Retail and Wholesale
127,Williams,"Tulsa, Oklahoma",Oklahoma,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
128,Omnicom Group,"New York, New York",New York,company,Media & Advertising
129,Boeing,"Chicago, Illinois",Illinois,company,Aerospace & Defense
130,Washington University in Saint Louis,"St. Louis, Missouri",Missouri,college,Education
131,Cincinnati Children's,"Cincinnati, Ohio",Ohio,company,Healthcare & Social
132,Cummins,"Columbus, Indiana",Indiana,company,"Engineering, Manufacturing"
133,County of Los Angeles,"Los Angeles, California",California,company,Government Services
134,ArcelorMittal,"Chicago, Illinois",Illinois,company,"Engineering, Manufacturing"
135,"University of Minnesota, Twin Cities","Minneapolis, Minnesota",Minnesota,college,Education
136,PPL,"Allentown, Pennsylvania",Pennsylvania,company,Utilities
