"year","list","position","rank","name","last_name","net_worth.millions","age","source","industry","gender","squareImage","url.bio.forbes","url.image"
2016,"India 50",33,33,"Kapil & Rahul Bhatia","Bhatia",3350,NA,"Airlines","Service","M","//specials-images.forbesimg.com/imageserve/55f77d16e4b0ffa7afe49443/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=224&cropY2=968","http://www.forbes.com/profile/kapil-rahul-bhatia","http://i.forbesimg.com/media/lists/people/kapil-rahul-bhatia_200x200.jpg"
2016,"India 50",34,34,"Ashwin Dani","Dani",3300,75,"paints","Manufacturing","M","//specials-images.forbesimg.com/imageserve/c01e374c2f9f59b8ef40099b563fc188/416x416.jpg?background=000000&cropX1=238&cropX2=660&cropY1=174&cropY2=596","http://www.forbes.com/profile/ashwin-dani","http://i.forbesimg.com/media/lists/people/ashwin-dani_200x200.jpg"
2016,"India 50",35,35,"Ajay Piramal","Piramal",3250,62,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/5a7f033b4bbe6f2652f52cc9/416x416.jpg?background=000000&cropX1=532&cropX2=2491&cropY1=207&cropY2=2168","http://www.forbes.com/profile/ajay-piramal","http://i.forbesimg.com/media/lists/people/ajay-piramal_200x200.jpg"
2016,"India 50",36,36,"Jain family","Jain",3200,NA,"media","Media & Entertainment",NA,NA,"http://www.forbes.com/profile/jain","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
2016,"India 50",37,37,"P.V. Ramprasad Reddy","Reddy",3150,60,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/d0be2e909f95f43c7f8c70b9d4c8d3cd/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=71&cropY2=812","http://www.forbes.com/profile/pv-ramprasad-reddy","http://i.forbesimg.com/media/lists/people/pv-ramprasad-reddy_200x200.jpg"
2016,"India 50",38,38,"Ravi Pillai","Pillai",3100,64,"construction","Construction & Engineering","M","//specials-images.forbesimg.com/imageserve/852181c7f225b2df196d085d65487095/416x416.jpg?background=000000&cropX1=89&cropX2=704&cropY1=81&cropY2=697","http://www.forbes.com/profile/ravi-pillai","http://i.forbesimg.com/media/lists/people/ravi-pillai_200x200.jpg"
2016,"India 50",39,39,"Vijay Chauhan","Chauhan",3000,82,"Biscuits","Food and Beverage","M",NA,"http://www.forbes.com/profile/vijay-chauhan","http://i.forbesimg.com/media/lists/people/vijay-chauhan_200x200.jpg"
2016,"India 50",40,40,"Kalanithi Maran","Maran",2900,52,"media","Media & Entertainment","M","//specials-images.forbesimg.com/imageserve/59cc09144bbe6f37dd9f9044/416x416.jpg?background=000000&cropX1=774&cropX2=3152&cropY1=5&cropY2=2384","http://www.forbes.com/profile/kalanithi-maran","http://i.forbesimg.com/media/lists/people/kalanithi-maran_200x200.jpg"
2016,"India 50",41,41,"Murali Divi","Divi",2800,67,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/9839b42fb571122aa4b8bafb23270c90/416x416.jpg?background=000000&cropX1=55&cropX2=696&cropY1=355&cropY2=996","http://www.forbes.com/profile/murali-divi","http://i.forbesimg.com/media/lists/people/murali-divi_200x200.jpg"
2016,"India 50",42,42,"Samprada Singh","Singh",2700,91,"Pharma","Healthcare","M","//specials-images.forbesimg.com/imageserve/544f63b9c57492d292ebcad2cc8e9191/416x416.jpg?background=000000&cropX1=2&cropX2=733&cropY1=2&cropY2=734","http://www.forbes.com/profile/samprada-singh","http://i.forbesimg.com/media/lists/people/samprada-singh_200x200.jpg"
2016,"India 50",43,43,"Ashwin Choksi","Choksi",2650,75,"Paints","Manufacturing","M","http://specials-images.forbesimg.com/imageserve/79d2cf9965e5976e2b998483040a87a8/416x416.jpg?background=000000&cropX1=63&cropX2=744&cropY1=153&cropY2=835","http://www.forbes.com/profile/ashwin-choksi","http://i.forbesimg.com/media/lists/people/ashwin-choksi_200x200.jpg"
2016,"India 50",44,44,"Yusuf Hamied","Hamied",2600,81,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/58a2300631358e1a35ab4f8f/416x416.jpg?background=000000&cropX1=101&cropX2=642&cropY1=0&cropY2=541","http://www.forbes.com/profile/yusuf-hamied-1","http://i.forbesimg.com/media/lists/people/yusuf-hamied-1_200x200.jpg"
2016,"India 50",45,45,"Rajan Raheja","Raheja",2550,64,"diversified","Diversified","M","//specials-images.forbesimg.com/imageserve/58a2210fa7ea431f32196fe6/416x416.jpg?background=000000&cropX1=3&cropX2=724&cropY1=169&cropY2=891","http://www.forbes.com/profile/rajan-raheja","http://i.forbesimg.com/media/lists/people/rajan-raheja_200x200.jpg"
2016,"India 50",46,46,"Vinod & Anil Rai Gupta","Gupta",2520,72,"electrical equipment","Manufacturing","F","//specials-images.forbesimg.com/imageserve/57dc48144bbe6f6781c51190/416x416.jpg?background=000000&cropX1=24&cropX2=716&cropY1=153&cropY2=846","http://www.forbes.com/profile/vinod-anil-rai-gupta","http://i.forbesimg.com/media/lists/people/vinod-anil-rai-gupta_200x200.jpg"
